category,sku,title,option,map,wholesale,profit,maxDiscount,maxDiscount%,newMinPrice,notes
Accessories,FT-TNHL-04201,#42 Forever Black Twine Spool,,$35.88,$10.88,$25.00,$20.00,55.7%,$15.88,
Accessories,FT-TNHL-06001,#60 Forever Black Twine Spool,,$35.88,$10.88,$25.00,$20.00,55.7%,$15.88,
Accessories,FT-TNHL-9601,#92 Forever Black Twine Spool,,$35.88,$10.88,$25.00,$20.00,55.7%,$15.88,
Accessories,Screen Bulletz,Screen Bulletz Leg Caps (4-Pack),,$39.95,$32.00,$7.95,$2.95,7.4%,$37.00,
Accessories,BWK,Bullet Wheel Kit,,$0.00,$75.00,$-75.00,$0.00,,$0.00,Already < $5 profit
Accessories,Screen Component,Bullet Fixed Leg Kit,,$0.00,$35.00,$-35.00,$0.00,,$0.00,Already < $5 profit
Accessories,Screen Wheel,Bullet Replacement Wheels (2-Pack),,$0.00,$30.00,$-30.00,$0.00,,$0.00,Already < $5 profit
Accessories,VINYL-12inchxFt,"12"" Vinyl Top by the FT",,$2.50/ft,$2.00/ft,$0.50/ft,$0.00/ft,0.0%,$2.50/ft,Already < $5 profit
Accessories,Screen Component,Screen Padding by the FT,,$1.50/ft,$1.00/ft,$0.50/ft,$0.00/ft,0.0%,$1.50/ft,Already < $5 profit
Accessories,Battingmat,Pro Batting Mat,,$575.00,$475.00,$100.00,$95.00,16.5%,$480.00,
Accessories,Armorbasket,Armor Basket Baseball Cart,,$299.95,$200.00,$99.95,$94.95,31.7%,$205.00,
Accessories,Wbasket,Bullet Wheeled Ball Basket,,$450.00,$350.00,$100.00,$95.00,21.1%,$355.00,
Pitcher's Pocket,PITCHERSPOCKET9,Pitcher's Pocket 9,,$299.95,$195.00,$104.95,$99.95,33.3%,$200.00,
Pitcher's Pocket,BBPP-PRO,Pitcher's Pocket Pro,,$249.95,$164.00,$85.95,$80.95,32.4%,$169.00,
Baseball L-Screens,BULLETL,Bullet L Screen,Standard,$399.95,$295.00,$104.95,$99.95,25.0%,$300.00,
