category,sku,title,option,map,wholesale,shipping,profit,profitPct,10PD,15PD,notes
Accessories,FT-TNHL-01801,#21 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-02101,#30 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-03601,#36 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-04201,#42 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-06001,#60 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,FT-TNHL-9601,#92 Forever Black Twine Spool,,$35.88,$10.88,$100.00,$25.00,69.7%,$21.41,$19.62,
Accessories,Screen Bulletz,Screen Bulletz Leg Caps (4-Pack),,$39.95,$32.00,$100.00,$7.95,19.9%,$3.96,$1.96,
Accessories,BWK,Bullet Wheel Kit,,$0.00,$75.00,$100.00,$-75.00,,$-75.00,$-75.00,
Accessories,Screen Component,Bullet Fixed Leg Kit,,$0.00,$35.00,$100.00,$-35.00,,$-35.00,$-35.00,
Accessories,Screen Wheel,Bullet Replacement Wheels (2-Pack),,$0.00,$30.00,$100.00,$-30.00,,$-30.00,$-30.00,
Accessories,VINYL-12inchxFt,"12"" Vinyl Top by the FT",,$2.50/ft,$2.00/ft,$100.00,$0.50/ft,20.0%,$0.25/ft,$0.13/ft,
Accessories,Screen Component,Screen Padding by the FT,,$1.50/ft,$1.00/ft,$100.00,$0.50/ft,33.3%,$0.35/ft,$0.27/ft,
Accessories,Battingmat,Pro Batting Mat,,$575.00,$475.00,Free,$100.00,17.4%,$42.50,$13.75,Free shipping override
Accessories,Armorbasket,Armor Basket Baseball Cart,,$299.95,$200.00,Free,$99.95,33.3%,$69.95,$54.96,Free shipping override
Accessories,Wbasket,Bullet Wheeled Ball Basket,,$450.00,$350.00,$100.00,$100.00,22.2%,$55.00,$32.50,
Pitcher's Pocket,PITCHERSPOCKET9,Pitcher's Pocket 9,,$299.95,$195.00,$50.00,$104.95,35.0%,$74.95,$59.96,
Pitcher's Pocket,BBPP-PRO,Pitcher's Pocket Pro,,$249.95,$164.00,$50.00,$85.95,34.4%,$60.95,$48.46,
Baseball L-Screens,BULLETL,Bullet L Screen,Standard,$399.95,$295.00,$75.00,$104.95,26.2%,$64.95,$44.96,
Baseball L-Screens,BULLETL,Bullet L Screen,Padded,$499.95,$358.00,$75.00,$141.95,28.4%,$91.95,$66.96,
Baseball L-Screens,BULLETL,Bullet L Screen,Wheeled,$499.95,$358.00,$75.00,$141.95,28.4%,$91.95,$66.96,
Baseball L-Screens,BULLETL,Bullet L Screen,Padded w/wheels,$549.95,$390.00,$75.00,$159.95,29.1%,$104.96,$77.46,
Baseball L-Screens,BULLETJRBB,Bullet L Screen JR,Standard,$349.95,$258.00,$75.00,$91.95,26.3%,$56.95,$39.46,
Baseball L-Screens,BULLETJRBB,Bullet L Screen JR,Padded,$449.95,$321.00,$75.00,$128.95,28.7%,$83.95,$61.46,
Baseball L-Screens,BULLETJRBB,Bullet L Screen JR,Wheeled,$449.95,$321.00,$75.00,$128.95,28.7%,$83.95,$61.46,
Baseball L-Screens,BULLETJRBB,Bullet L Screen JR,Padded w/wheels,$499.95,$358.00,$75.00,$141.95,28.4%,$91.95,$66.96,
